area,area_type,district_code,house_number,legal_description,locality,nature_of_property,postcode,primary_purpose,property_id,property_name,strata_lot_number,street_name,unit_number,zoning
,,139,1,9/SP144813/SP1448,DRUMMOYNE,R,2047,RESIDENCE,1896985,GARAGE,13,ALEXANDRA ST,9,
,,139,3,9/SP5960,DRUMMOYNE,R,2047,RESIDENCE,1896999,,9,ALEXANDRA ST,9,
,,139,25,13/SP11178,DRUMMOYNE,R,2047,RESIDENCE,1897024,,13,ALEXANDRA ST,13,
,,139,54,5/SP1414,DRUMMOYNE,R,2047,RESIDENCE,1897076,,5,ALEXANDRA ST,5,
,,139,50,2/SP58148,DRUMMOYNE,R,2047,RESIDENCE,1897113,,2,ALEXANDRA ST,2,
,,139,28,1/SP11131,DRUMMOYNE,R,2047,RESIDENCE,1897128,,1,ALEXANDRA ST,1,
,,139,24,5/SP708514/SP7085,DRUMMOYNE,R,2047,RESIDENCE,1897141,,14,ALEXANDRA ST,5,
,,139,18,10/SP7061,DRUMMOYNE,R,2047,RESIDENCE,1897160,,10,ALEXANDRA ST,10,
,,139,2,5/SP10847,DRUMMOYNE,R,2047,RESIDENCE,1897180,,5,ALEXANDRA ST,5,
,,139,19,1/SP40865,ABBOTSFORD,R,2046,RESIDENCE,1897215,,1,ALTONA ST,1,
,,139,24,1/SP63078,ABBOTSFORD,R,2046,RESIDENCE,1897223,,1,ALTONA ST,1,
,,139,2,11/SP54772,FIVE DOCK,R,2046,RESIDENCE,1897392,,11,BARNSTAPLE LANE,11,
,,139,47,4/SP56408,FIVE DOCK,R,2046,RESIDENCE,1897429,,4,BARNSTAPLE RD,4,
,,139,39,1/SP9054,ABBOTSFORD,R,2046,RESIDENCE,1897511,,1,BATTERSEA ST,1,
,,139,1,15/SP49825,RUSSELL LEA,R,2046,RESIDENCE,1897524,,15,BAY RD,15,
,,139,5,43/SP53975/SP5397,RUSSELL LEA,R,2046,RESIDENCE,1897543,GARAGE,5,BAY RD,5,
,,139,13,4/SP4593,RUSSELL LEA,R,2046,RESIDENCE,1897588,,4,BAY RD,4,
,,139,15,1/SP63236,RUSSELL LEA,R,2046,RESIDENCE,1897606,,1,BAY RD,1,
,,139,19,9/SP12974,RUSSELL LEA,R,2046,RESIDENCE,1897608,,9,BAY RD,9,
,,139,23,5/SP10520,RUSSELL LEA,R,2046,RESIDENCE,1897622,,5,BAY RD,5,
,,139,31,20/SP13159,RUSSELL LEA,R,2046,RESIDENCE,1897637,,20,BAY RD,20,
,,139,30,3/SP2818,RUSSELL LEA,R,2046,RESIDENCE,1897664,,3,BAY RD,3,
,,139,28,4/SP61211,RUSSELL LEA,R,2046,RESIDENCE,1897669,,4,BAY RD,4,
,,139,26,3/SP19267,RUSSELL LEA,R,2046,RESIDENCE,1897678,,3,BAY RD,3,
,,139,24,3/SP32185,RUSSELL LEA,R,2046,RESIDENCE,1897687,,3,BAY RD,3,
,,139,20,3/SP17858,RUSSELL LEA,R,2046,RESIDENCE,1897700,,3,BAY RD,3,
,,139,26,3/SP32575,DRUMMOYNE,R,2047,RESIDENCE,1897728,,3,BAYSWATER ST,3,
,,139,44,6/SP360,DRUMMOYNE,V,2047,VACANT LAND,1897739,,6,BAYSWATER ST,6,
,,139,58,2/SP9069,DRUMMOYNE,R,2047,RESIDENCE,1897758,,2,BAYSWATER ST,2,
,,139,11,12/SP90627/SP906,DRUMMOYNE,R,2047,RESIDENCE,1897772,GARAGE,27,BAYSWATER ST,12,
,,139,3 A,22/SP61193,ABBOTSFORD,R,2046,RESIDENCE,1898077,PATTERSON,22,BLACKWALL POINT RD,22,
